Architecture,Hidden Layers,Train MSE,Train MAE,Test MSE,Test MAE,Test RMSE,R2 Score,Test MAPE (%),Test Median AE
C5,"[2, 5]",135.8536376953125,8.674539566040039,135.94786071777344,8.677512168884277,11.659487143169272,0.6162365896369746,9.074304022301495,6.7913763427734395
C6,"[2, 6]",110.89781188964844,7.975311756134033,111.26085662841797,7.981549263000488,10.547892025599507,0.6859230823907569,8.473706827556272,6.415662536621085
C7,"[2, 7]",98.58718872070312,7.370363235473633,98.92817687988281,7.378452301025391,9.946153822997667,0.7207359627101133,7.9392370335042735,5.875051269531241
D1,"[3, 1]",674.904052734375,24.15353012084961,675.3821411132812,24.156030654907227,25.988049705879902,-0.9065668898943637,26.50242776025462,23.263425598144522
D2,"[3, 2]",293.2573547363281,14.815298080444336,293.48779296875,14.817358016967773,17.1313447333174,0.1715094137916563,15.88074382359434,14.175267944335943
D3,"[3, 3]",148.54969787597656,9.921826362609863,148.7902069091797,9.92619514465332,12.197739321636025,0.5799863886784036,10.582903302251774,8.895070800781241
D4,"[3, 4]",113.52377319335938,8.35532283782959,113.895263671875,8.363089561462402,10.671864336770456,0.6784968290627831,8.900069601021187,7.076585998535158
D5,"[3, 5]",106.00296020507812,8.062190055847168,106.24947357177734,8.069144248962402,10.307523056943651,0.7000745638654086,8.753372800803065,6.882947692871099
D6,"[3, 6]",80.64859008789062,6.86253547668457,80.94620513916016,6.87058162689209,8.99668228765303,0.7715088218635869,7.4141177513301555,5.564168701171866
E1,"[4, 1]",638.5133666992188,23.524261474609375,638.6688842773438,23.52545166015625,25.27175245272976,-0.8029155595516593,25.798440066533573,23.272847900390616
E2,"[4, 2]",260.674560546875,14.242510795593262,261.1625671386719,14.250579833984375,16.16035644055592,0.2627639895782319,15.391060873883916,13.58097625732421
E3,"[4, 3]",147.1083526611328,10.034515380859375,147.58094787597656,10.04529094696045,12.148038622204249,0.5834021760315105,10.68179048182148,9.243406066894522
E4,"[4, 4]",116.39673614501953,8.581498146057129,116.79740142822266,8.588648796081543,10.806892921678102,0.6703095510975131,9.151100172804462,7.476270446777335
E5,"[4, 5]",97.84156036376953,7.748556613922119,98.25670623779297,7.759192943572998,9.911993710695102,0.7226509358723371,8.233353855912796,6.514295349121099
F1,"[5, 1]",661.4090576171875,24.081546783447266,661.992431640625,24.086610794067383,25.72907460006464,-0.8687577274770282,26.504122480341458,23.326848754882803
F2,"[5, 2]",240.0459747314453,13.607620239257812,240.332763671875,13.612638473510742,15.502443817361808,0.32157006675560584,14.675009727529517,13.064542541503897
F3,"[5, 3]",151.20870971679688,10.278475761413574,151.66477966308594,10.287956237792969,12.31493722980531,0.5718764930694402,10.94502259232972,9.605657348632818
F4,"[5, 4]",129.06390380859375,9.042637825012207,129.5401153564453,9.053223609924316,11.381151607384709,0.6343403103552756,9.497128233735985,7.775243530273428
G1,"[6, 1]",657.9263916015625,24.07160186767578,658.3719482421875,24.074440002441406,25.658548573323802,-0.8585268562727664,26.530503329442645,23.513089904785147
G2,"[6, 2]",278.0896911621094,14.869044303894043,278.6649475097656,14.878067970275879,16.693035380566076,0.2133613209450167,16.112746036382436,14.355886230468755
G3,"[6, 3]",157.82574462890625,10.468659400939941,158.29452514648438,10.47536563873291,12.58112065570097,0.5531689710724312,11.19506136286813,9.585729370117178
H1,"[7, 1]",633.2665405273438,23.642440795898438,633.6868896484375,23.64631462097168,25.172937801385714,-0.7888440246741741,26.021198783612377,23.40781188964843
H2,"[7, 2]",256.6260681152344,14.303617477416992,257.17938232421875,14.312674522399902,16.036468872459913,0.2740241725677707,15.542873182686561,13.584592590332022
I1,"[8, 1]",649.8684692382812,23.964406967163086,650.35546875,23.968013763427734,25.501896479924106,-0.8359025544528123,26.4432109480091,23.355821380615225
