Architecture,Hidden Layers,Train MSE,Train MAE,Test MSE,Test MAE,Test RMSE,R2 Score,Test MAPE (%),Test Median AE
C7,"[2, 7]",62.91805648803711,6.126613140106201,63.647621154785156,6.1448564529418945,7.97720732787137,0.8209708760264374,7.105222922834307,5.2244239807128885
D1,"[3, 1]",88.15321350097656,7.2016987800598145,88.95668029785156,7.22312068939209,9.431263669928603,0.7497571366526452,8.334277983512555,6.151882171630859
D2,"[3, 2]",68.32260131835938,6.451826095581055,69.03329467773438,6.47218132019043,8.307961340444862,0.8058171542225485,7.637395180376427,5.523202514648432
D3,"[3, 3]",58.91150665283203,5.924064636230469,59.53709411621094,5.9424591064453125,7.715153195675598,0.8325400197683474,6.827963523397426,5.060821533203125
D4,"[3, 4]",54.713470458984375,5.641060829162598,55.36766052246094,5.659576892852783,7.43995587939558,0.8442734552145,6.475933319428022,4.695468902587891
D5,"[3, 5]",56.30133056640625,5.611496448516846,56.96082305908203,5.631059169769287,7.546461992402982,0.8397829593502838,6.392112864974956,4.677651977539057
D6,"[3, 6]",53.50982666015625,5.625456809997559,54.127685546875,5.64872407913208,7.355974528522594,0.8477692591233977,6.625374474513136,4.809791564941406
E1,"[4, 1]",76.91002655029297,6.862316131591797,77.60264587402344,6.882243633270264,8.808569981024888,0.7817105505434221,8.01553957827464,5.758014678955078
E2,"[4, 2]",66.26268768310547,6.206027984619141,66.9611587524414,6.22531795501709,8.18220128831774,0.8116514652140191,7.150748771780154,5.236703491210932
E3,"[4, 3]",51.87078094482422,5.56707239151001,52.45147705078125,5.5868425369262695,7.240870440223167,0.8524961075070663,6.498195546784423,4.781068420410151
E4,"[4, 4]",61.22015380859375,5.978835582733154,61.95056915283203,5.997828483581543,7.86986718822675,0.8257564406311741,7.0012721053149995,5.001661682128912
E5,"[4, 5]",48.04907989501953,5.2649946212768555,48.62261199951172,5.28465461730957,6.971811877048295,0.8632544358544378,6.0641738467283295,4.421092987060547
F1,"[5, 1]",76.5252914428711,6.852704048156738,77.18708038330078,6.868030548095703,8.784888971338978,0.7828826740482994,8.01742102119359,5.919218444824224
F2,"[5, 2]",52.69091796875,5.66241979598999,53.2042121887207,5.6800737380981445,7.292868257734192,0.8503700040640452,6.588157016362276,4.923679351806641
F3,"[5, 3]",47.148399353027344,5.257837295532227,47.68242645263672,5.274378776550293,6.904125244408268,0.8658967664866117,6.082171279658661,4.361442565917969
F4,"[5, 4]",42.600494384765625,5.0005059242248535,43.00631332397461,5.01979398727417,6.556293908206093,0.8790686904951645,5.740080623271874,4.228443145751953
G1,"[6, 1]",76.83383178710938,6.891392230987549,77.36814880371094,6.907493591308594,8.79465794375962,0.7823995279366651,8.090303775765747,5.962375640869141
G2,"[6, 2]",54.04077911376953,5.665167331695557,54.5751953125,5.679383277893066,7.386214500327414,0.8465150634883218,6.555400180969809,4.81203994750976
G3,"[6, 3]",62.48289489746094,6.06291389465332,63.27519607543945,6.082676887512207,7.953794631594185,0.8220202165620638,7.141798537522042,5.098023986816401
H1,"[7, 1]",71.7010269165039,6.6653523445129395,72.28773498535156,6.679893493652344,8.501223053100684,0.7966778235119953,7.813516598437253,5.759844207763678
H2,"[7, 2]",48.03922653198242,5.43716287612915,48.44889831542969,5.452601432800293,6.958780763867433,0.8637651442968146,6.333710790429603,4.765007019042969
I1,"[8, 1]",71.17630004882812,6.6396684646606445,71.74256896972656,6.6532979011535645,8.469094328291337,0.7982117529454472,7.793794871377379,5.734860992431635
